msgctxt,msgid,msgid_plural,flags,references,extractedComments,comments,msgstr[0],msgstr[1]
,Trusted Host Settings,,,,,,,
,The reference view %view_name cannot be found.,,,,,,,
,An autocomplete text field with tagging support.,,,,,,,
,"You can also configure a default image that will be used if no image is uploaded in an image field. This default can be defined for all instances of the field in the field storage settings when you create a field, and the setting can be overridden for each entity sub-type that uses the field.",,,,,,,
,Managing vocabularies,,,,,,,
,Managing terms,,,,,,,
,Provides links to perform entity operations.,,,,,,,
,@label (@id),,,,,,,
,Query arguments,,,,,,,
,Request format,,,,,,,
,A flag indicating whether this is the default translation.,,,,,,,
,Field settings (@on_label / @off_label),,,,,,,
,@on_label / @off_label,,,,,,,
,By @author @time ago,,,,,,,
,"Search looks for exact, case-insensitive keywords; keywords shorter than a minimum length are ignored.",,,,,,,
,"Use upper-case OR to get more results. Example: cat OR dog (content contains either ""cat"" or ""dog"").",,,,,,,
,"You can use upper-case AND to require all words, but this is the same as the default behavior. Example: cat AND dog (same as cat dog, content must contain both ""cat"" and ""dog"").",,,,,,,
,"Use quotes to search for a phrase. Example: ""the cat eats mice"".",,,,,,,
,"You can precede keywords by - to exclude them; you must still have at least one ""positive"" keyword. Example: cat -dog (content must contain cat and cannot contain dog).",,,,,,,
,No eligible views were found.,,,,,,,
,Testing config overrides,,,,,,,
,Minimal profile for running tests with config overrides in a profile.,,,,,,,
,The hashed password,,,,,,,
,Are you sure you want to create a new %name @type?,,,,,,,
,@entity using @field_name,,,,,,,
,The <em>Autocomplete (Tags style)</em> widget displays a multi-text field in which users can type in a comma-separated list of entity labels.,,,,,,,
,"Revisions allow you to track differences between multiple versions of your content, and revert to older versions.",,,,,,,
,Display the user or author name.,,,,,,,
,Testing multilingual with English,,,,,,,
,Checkout complete! Thank you for your purchase.,,,,,,,
,Resolving missing content,,,,,,,
,The following @entity-type translations will be deleted:,,,,,,,
,The @entity-type %label @language translation has been deleted.,,,,,,,
,Are you sure you want to delete the @language translation of the @entity-type %label?,,,,,,"Haluatko varmasti poistaa käännöksen ""%label"", joka on tyyppiä <em>@entity-type</em> ja kielellä <em>@language</em>?",
,Unable to uninstall the %module module since the %dependent_module module is installed.,,,,,,,
,Unable to install the %theme theme since it requires the %required_theme theme.,,,,,,,
,Unable to uninstall the %theme theme since the %dependent_theme theme is installed.,,,,,,,
,Configuration %name depends on the %owner module that will not be installed after import.,,,,,,,
,Configuration %name depends on the %owner theme that will not be installed after import.,,,,,,,
,Configuration %name depends on the %owner extension that will not be installed after import.,,,,,,,
,Unable to install the %module module since it requires the %required_module module.,Unable to install the %module module since it requires the %required_module modules.,,,,,,
,Configuration %name depends on the %module module that will not be installed after import.,Configuration %name depends on modules (%module) that will not be installed after import.,,,,,,
,Configuration %name depends on the %theme theme that will not be installed after import.,Configuration %name depends on themes (%theme) that will not be installed after import.,,,,,,
,Configuration %name depends on the %config configuration that will not exist after import.,Configuration %name depends on configuration (%config) that will not exist after import.,,,,,,
,Inaccessible,,,,,,,
Validation,NotNull,,,,,,,
Validation,Null,,,,,,,
,The configuration cannot be imported because it failed validation for the following reasons:,,,,,,,
,Link to translate @entity_type_label,,,,,,,
,"For more detailed information, see the <a href=""https://www.drupal.org/upgrade"">upgrading handbook</a>. If you are unsure what these terms mean you should probably contact your hosting provider.",,,,,,,
,Trimmed limit,,,,,,,
,Trimmed limit: @trim_length characters,,,,,,,
,%name is blocked or has not been activated yet.,,,,,,,
,Entity delete link,,,,,,,
,Entity edit link,,,,,,,
,Link to @entity_type_label,,,,,,,
,Provide a view link to the @entity_type_label.,,,,,,,
,Link to edit @entity_type_label,,,,,,,
,Provide an edit link to the @entity_type_label.,,,,,,,
,Link to delete @entity_type_label,,,,,,,
,Provide a delete link to the @entity_type_label.,,,,,,,
,Cache tags,,,,,,,
,"The validation failed because the value conflicts with the value in %field_name, which you cannot access.",,,,,,,
,Use <em>@interval</em> where you want the formatted interval text to appear.,,,,,,,
,How many time interval units should be shown in the formatted output.,,,,,,,
,Future date: %display,,,,,,,
,Past date: %display,,,,,,,
,Revision translation affected,,,,,,,
,Indicates if the last edit of a translation belongs to current revision.,,,,,,,
,Your configuration files were successfully uploaded and are ready for import.,,,,,,,
,Translate any configuration including those shipped with modules and themes.,,,,,,,
,Configuring the internal page cache,,,,,,,
,Internal Page Cache,,,,,,,
,Testing config import,,,,,,,
,Tests install profiles in the config importer.,,,,,,,
,Module %name has been enabled.,@count modules have been enabled: %names.,,,,,,
,Filter by name or description,,,,,,,
,"The MySQLnd driver version %version is less than the minimum required version. Upgrade to MySQLnd version %mysqlnd_minimum_version or up, or alternatively switch mysql drivers to libmysqlclient version %libmysqlclient_minimum_version or up.",,,,,,,
,"The libmysqlclient driver version %version is less than the minimum required version. Upgrade to libmysqlclient version %libmysqlclient_minimum_version or up, or alternatively switch mysql drivers to MySQLnd version %mysqlnd_minimum_version or up.",,,,,,,
,@title (value @number),,,,,,,
,Shown tabs,,,,,,,
,Select tabs being shown in the block,,,,,,,
,Show primary tabs,,,,,,,
,Show secondary tabs,,,,,,,
,@label (@type),,,,,,,
,Comment_forum,,,,,,,
,Default comment field,,,,,,,
,Overridden block the selected user(s),,,,,,,
,Entity type mismatch on rename. @old_type not equal to @new_type for existing configuration @old_name and staged configuration @new_name.,,,,,,,
,Rename operation for simple configuration. Existing configuration @old_name and staged configuration @new_name.,,,,,,,
,"Your MySQL server and PHP MySQL driver must support utf8mb4 character encoding. Make sure to use a database system that supports this (such as MySQL/MariaDB/Percona 5.5.3 and up), and that the utf8mb4 character set is compiled in. See the <a href="":documentation"" target=""_blank"">MySQL documentation</a> for more information.",,,,,,,
,"The %driver database must use %encoding encoding to work with Drupal. Recreate the database with %encoding encoding. See <a href=""INSTALL.pgsql.txt"">INSTALL.pgsql.txt</a> for more details.",,,,,,,
,"The %setting setting is currently set to '%current_value', but needs to be '%needed_value'. Change this by running the following query: <code>@query</code>",,,,,,,
,URI field size: @size,,,,,,,
,"Failed to connect to the server. The server reports the following message: <p class=""error"">@message</p> For more help installing or updating code on your server, see the <a href="":handbook_url"">handbook</a>.",,,,,,,
,"<ul>
<li>To start over, you must empty your existing database and copy <em>default.settings.php</em> over <em>settings.php</em>.</li>
<li>To upgrade an existing installation, proceed to the <a href="":update-url"">update script</a>.</li>
<li>View your <a href="":base-url"">existing site</a>.</li>
</ul>",,,,,,,
Validation,Unique field constraint,,,,,,,
,A @entity_type with @field_name %value already exists.,,,,,,,
,In reply to @parent_title by @parent_username,,,,,,,
,Name for @anonymous,,,,,,,
,@source_name to @target_name,,,,,,,
,"In order to translate configuration, the website must have at least two <a href="":url"">languages</a>.",,,,,,,
,"@label <span class=""visually-hidden"">(@source_language)</span>",,,,,,,
,@sender-name (@sender-url) sent a message using the contact form at @form-url.,,,,,,,
,[@site-name] @subject,,,,,,,
,@sender-name (@sender-url) has sent you a message via your contact form at @site-name.,,,,,,,
,"If you don't want to receive such emails, you can change your settings at @recipient-edit-url.",,,,,,,
,"The contact form has not been configured. <a href="":add"">Add one or more forms</a> .",,,,,,,
,"No eligible views were found. <a href="":create"">Create a view</a> with an <em>Entity Reference</em> display, or add such a display to an <a href="":existing"">existing view</a>.",,,,,,,
,"There are no fields yet added. You can add new fields on the <a href="":link"">Manage fields</a> page.",,,,,,,
,"For more information see W3C's <a href="":html-specifications"">HTML Specifications</a> or use your favorite search engine to find other sites that explain HTML.",,,,,,,
,"If you do encounter problems, try using HTML character entities. A common example looks like &amp;amp; for an ampersand &amp; character. For a full list of entities see HTML's <a href="":html-entities"">entities</a> page. Some of the available characters include:",,,,,,,
,"<strong>Configure your website</strong> Once logged in, visit the <a href="":admin"">Administration page</a>, where you may <a href="":config"">customize and configure</a> all aspects of your website.",,,,,,,
,"<strong>Enable additional functionality</strong> Next, visit the <a href="":modules"">Extend page</a> and enable modules that suit your specific needs. You can find additional modules at the <a href="":download_modules"">Drupal.org modules page</a>.",,,,,,,
,"<strong>Customize your website design</strong> To change the ""look and feel"" of your website, visit the <a href="":themes"">Appearance page</a>. You may choose from one of the included themes or download additional themes from the <a href="":download_themes"">Drupal.org themes page</a>.",,,,,,,
,"<strong>Start posting content</strong> Finally, you may <a href="":content"">add new content</a> to your website.",,,,,,,
,image from @field_name,,,,,,,
,The style machine name.,,,,,,,
,"Define how to decide which language is used to display page elements (primarily text provided by modules, such as field labels and help text). This decision is made by evaluating a series of detection methods for languages; the first detection method that gets a result will determine which language is used for that type of text. Be aware that some language detection methods are unreliable under certain conditions, such as browser detection when page-caching is enabled and a user is not currently logged in. Define the order of evaluation of language detection methods on this page. The default language can be changed in the <a href="":admin-change-language"">list of languages</a>.",,,,,,,
,@message (@percent%).,,,,,,,
,"One translation file could not be imported. <a href="":url"">See the log</a> for details.","@count translation files could not be imported. <a href="":url"">See the log</a> for details.",,,,,,
,"One translation string was skipped because of disallowed or malformed HTML. <a href="":url"">See the log</a> for details.","@count translation strings were skipped because of disallowed or malformed HTML. <a href="":url"">See the log</a> for details.",,,,,,
,"Missing translations for: @languages. See the <a href="":updates"">Available translation updates</a> page for more information.",,,,,,,
,"Translation files are stored locally in the  %path directory. You can change this directory on the <a href="":url"">File system</a> configuration page.",,,,,,,
,"The Node module gives users with the <em>Administer content types</em> permission the ability to <a href="":content-new"">create new content types</a> in addition to the default ones already configured. Creating custom content types gives you the flexibility to add <a href="":field"">fields</a> and configure default settings that suit the differing needs of various site content.",,,,,,,
,"The <a href="":content"">Content</a> page lists your content, allowing you add new content, filter, edit or delete existing content, or perform bulk operations on existing content.",,,,,,,
,"If the site is experiencing problems with permissions to content, you may have to rebuild the permissions cache. Rebuilding will remove all privileges to content and replace them with permissions based on the current modules and settings. Rebuilding may take some time if there is a lot of content or complex permission settings. After rebuilding has completed, content will automatically use the new permissions. <a href="":rebuild"">Rebuild permissions</a>",,,,,,,
,"No content types available. <a href="":link"">Add content type</a>.",,,,,,,
,The internal system path.,,,,,,,
,… @excerpt … @excerpt …,,,,,,,
,Version: @module-version,,,,,,,
,Requires: @module-list,,,,,,,
,Required by: @module-list,,,,,,,
,"Here you can find a short overview of your site's parameters as well as any problems detected with your installation. It may be useful to copy and paste this information into support requests filed on Drupal.org's support forums and project issue queues. Before filing a support request, ensure that your web server meets the <a href="":system-requirements"">system requirements.</a>",,,,,,,
,PHP OPcode caching,,,,,,,
,"For more information, see the online handbook entry for <a href="":memory-limit"">increasing the PHP memory limit</a>.",,,,,,,
,Last run @time ago,,,,,,,
,"For more information, see the online handbook entry for <a href="":cron-handbook"">configuring cron jobs</a>.",,,,,,,
,"Update notifications are not enabled. It is <strong>highly recommended</strong> that you enable the Update Manager module from the <a href="":module"">module administration page</a> in order to stay up-to-date on new releases. For more information, <a href="":update"">Update status handbook page</a>.",,,,,,,
,"The trusted_host_patterns setting is not configured in settings.php. This can lead to security vulnerabilities. It is <strong>highly recommended</strong> that you configure this. See <a href="":url"">Protecting against HTTP HOST Header attacks</a> for more information.",,,,,,,
,"Put your site into <a href="":url"">maintenance mode</a>.",,,,,,,
,"All errors have been <a href="":url"">logged</a>.",,,,,,,
,Screenshot for @theme theme,,,,,,,
,Settings for @theme theme,,,,,,,
,"Powered by <a href="":poweredby"">Drupal</a>",,,,,,,
,Number of summary rows: @rows,,,,,,,
,@tour_item of @total,,,,,,,
,Boolean indicating whether the node is published.,,,,,,,
,"Regularly review and install <a href="":updates"">available updates</a> to maintain a secure and current site. Always run the <a href="":update-php"">update script</a> each time a module is updated.",,,,,,,
,"Your site is currently configured to send these emails when any updates are available. To get notified only for security updates, @url.",,,,,,,
,"Your site is currently configured to send these emails only when security updates are available. To get notified for any available updates, @url.",,,,,,,
,"See the <a href="":available_updates"">available updates</a> page for more information.",,,,,,,
,"You can choose to send email only if a security update is available, or to be notified about all newer versions. If there are updates available of Drupal core or any of your installed modules and themes, your site will always print a message on the <a href="":status_report"">status report</a> page, and will also display an error message on administration pages if there is a security update.",,,,,,,
,"You can find <a href="":module_url"">modules</a> and <a href="":theme_url"">themes</a> on <a href="":drupal_org_url"">drupal.org</a>. The following file extensions are supported: %extensions.",,,,,,,
,"Back up your database and site before you continue. <a href="":backup_url"">Learn how</a>.",,,,,,,
,"Available variables are: [site:name], [site:url], [user:display-name], [user:account-name], [user:mail], [site:login-url], [site:url-brief], [user:edit-url], [user:one-time-login-url], [user:cancel-url].",,,,,,,
,"A welcome message with further instructions has been emailed to the new user <a href="":url"">%name</a>.",,,,,,,
,Password reset instructions will be sent to your registered email address.,,,,,,,
,Send password reset instructions via email.,,,,,,,
,@type language selected for page,,,,,,,
,Will not be accessible.,,,,,,,
,@code (@title),,,,,,,
,The following tokens are available. You may use Twig syntax in this field.,,,,,,,
,"Override the view and other argument titles. You may use Twig syntax in this field as well as the ""arguments"" and ""raw_arguments"" arrays.",,,,,,,
,Override the view and other argument titles. You may use Twig syntax in this field.,,,,,,,
,The following replacement tokens are available for this argument.,,,,,,,
,"The category this block will appear under on the <a href="":href"">blocks placement page</a>.",,,,,,,
,You may also adjust the @settings for the currently selected access restriction.,,,,,,,
,You may also adjust the @settings for the currently selected cache mechanism.,,,,,,,
,You may also adjust the @settings for the currently selected style.,,,,,,,
,You may also adjust the @settings for the currently selected row style.,,,,,,,
,You may also adjust the @settings for the currently selected pager.,,,,,,,
,"The Views UI module provides an interface for managing views for the <a href="":views"">Views module</a>. For more information, see the <a href="":handbook"">online documentation for the Views UI module</a>.",,,,,,,
,"Views can be enabled or disabled from the <a href="":list"">Views list page</a>. To enable a view, find the view within the ""Disabled"" list and select the ""Enable"" operation. To disable a view find the view within the ""Enabled"" list and select the ""Disable"" operation.",,,,,,,
,"Views can be exported and imported as configuration files by using the <a href="":config"">Configuration Manager module</a>.",,,,,,,
,Advanced Views settings,,,,,,,
,View @display_title,,,,,,,
,Duplicate as @type,,,,,,,
,Add @display,,,,,,,
,"By breaking this lock, any unsaved changes made by @user will be lost.",,,,,,,
,@display '@id': Component '@name' was disabled because its settings depend on removed dependencies.,,,,,,,
,No widget available for: %type.,,,,,,,
,This value is not valid.,,,,,,,
,Create tasks that the system can execute.,,,,,,,
,Adding comment types,,,,,,,
,"Configure how content is filtered when displayed, including which HTML tags are rendered, and enable module-provided filters.",,,,,,,
,- None (original image) -,,,,,,,
,Configure the logging of content statistics.,,,,,,,
,Checking site status,,,,,,,
,The following reason prevents @module.module_name from being uninstalled:,The following reasons prevent @module.module_name from being uninstalled:,,,,,,
,%name is not recognized as a username or an email address.,,,,,,,
,Cache maximum age,,,,,,,
,Creating and managing views,,,,,,,
,Enabling and disabling views,,,,,,,
,Exporting and importing views,,,,,,,
,Stable,,,,,,,
,The language code.,,,,,,,
,Aggregator RSS feed,,,,,,,
,Aggregator sources,,,,,,,
,Find and manage custom blocks.,,,,,,,
,Recent comments.,,,,,,,
,Editing languages,,,,,,,
,"<p>This page provides the ability to add common languages to your site.</p><p>If the desired language is not available, you can add a custom language.</p>",,,,,,,
,"<p>Choose a language from the list, or choose ""Custom language..."" at the end of the list.</p><p>Click the ""Add language"" button when you are done choosing your language.</p><p>When adding a custom language, you will get an additional form where you can provide the name, code, and direction of the language.</p>",,,,,,,
,Continuing on,,,,,,,
,"<p>This page provides the ability to edit a language on your site, including custom languages.</p>",,,,,,,
,"<p>You cannot change the code of a language on the site, since it is used by the system to keep track of the language.</p>",,,,,,,
,"<p>The language name is used throughout the site for all users and is written in English. Names of built-in languages can be translated using the Interface Translation module, and names of both built-in and custom languages can be translated using the Configuration Translation module.</p>",,,,,,,
,"<p>Choose if the language is a ""Left to right"" or ""Right to left"" language.</p><p>Note that not all themes support ""Right to left"" layouts, so test your theme if you are using ""Right to left"".</p>",,,,,,,
,"<p>The ""Languages"" page allows you to add, edit, delete, and reorder languages for the site.</p>",,,,,,,
,"<p>To add more languages to your site, click the ""Add language"" button.</p><p>Added languages will be displayed in the language list and can then be edited or deleted.</p>",,,,,,,
,Reordering languages,,,,,,,
,"<p>To reorder the languages on your site, use the drag icons next to each language.</p><p>The order shown here is the display order for language lists on the site such as in the language switcher blocks provided by the Interface Translation and Content Translation modules.</p><p>When you are done with reordering the languages, click the ""Save configuration"" button for the changes to take effect.</p>",,,,,,,
,Set a language as default,,,,,,,
,Modifying languages,,,,,,,
,"<p>Operations are provided for editing and deleting your languages.</p><p>You can edit the name and the direction of the language.</p><p>Deleted languages can be added back at a later time. Deleting a language will remove all interface translations associated with it, and content in this language will be set to be language neutral. Note that you cannot delete the default language of the site.</p>",,,,,,,
,Choose the language you want to translate.,,,,,,,
,"Enter the specific word or sentence you want to translate, you can also write just a part of a word.",,,,,,,
,Filter the search,,,,,,,
,"You can search for untranslated strings if you want to translate something that isn't translated yet. If you want to modify an existing translation, you might want to search only for translated strings.",,,,,,,
,Apply your search criteria,,,,,,,
,"To apply your search criteria, click on the <em>Filter</em> button.",,,,,,,
,You can write your own translation in the text fields of the right column. Try to figure out in which context the text will be used in order to translate it in the appropriate way.,,,,,,,
,Validate the translation,,,,,,,
,"When you have finished your translations, click on the <em>Save translations</em> button. You must save your translations, each time before changing the page or making a new search.",,,,,,,
,Welcome to [site:name],,,,,,,
,"Perform administrative tasks, including adding a description and creating a clone. Click the drop-down button to view the available options.",,,,,,,
,"Choose how to output results. E.g., choose <em>Content</em> to output each item completely, using your configured display settings. Or choose <em>Fields</em>, which allows you to output only specific fields for each result. Additional formats can be added by installing modules to <em>extend</em> Drupal's base functionality.",,,,,,,
,"If this view uses fields, they are listed here. You can click on a field to configure it.",,,,,,,
,"Add filters to limit the results in the output. E.g., to only show content that is <em>published</em>, you would add a filter for <em>Published</em> and select <em>Yes</em>.",,,,,,,
,Show a preview of the view output.,,,,,,,
,Fallback sort expose settings,,,,,,,
,width @data.width,,,,,,,
,height @data.height,,,,,,,
,Administer workflows,,,,,,,
,A default base theme using Drupal 8.0.0's core markup and CSS.,,,,,,,
,There are no changes to import.,,,,,,,
,Another request may be importing configuration already.,,,,,,,
,The configuration import failed for the following reasons:,,,,,,,
,BigPipe,,,,,,,
,Current workspace,,,,,,,
,Workspace switcher,,,,,,,
,Delete transition,,,,,,,
,Show &mdash; @configuration.label,,,,,,,
,Hide &mdash; @configuration.label,,,,,,,
,Session exists,,,,,,,
,Add workspace,,,,,,,
,Workspaces,,,,,,,
,Create and manage workspaces.,,,,,,,
,Administer workspaces,,,,,,,
,Edit workspace %label,,,,,,,
,Workspace ID,,,,,,,
,Workspace %info has been created.,,,,,,,
,Workspace %info has been updated.,,,,,,,
,The workspace could not be saved.,,,,,,,
,The workspace ID.,,,,,,,
,Field %field set in %filter is not usable for this filter type. Combined field filter only works for simple fields.,,,,,,,
,Renders an entity in a view mode.,,,,,,,
decimal places,Scale,,,,,,,
,Antigua & Barbuda,,,,,,,
,Did not save to map table due to NULL value for key field @field,,,,,,,
,A boolean indicating whether the node is visible on the front page.,,,,,,,
,A boolean indicating whether the node should sort to the top of content lists.,,,,,,,
,The %entity_type entity type needs to be installed.,,,,,,,
,The %entity_type entity type needs to be updated.,,,,,,,
,The %field_name field needs to be installed.,,,,,,,
,The %field_name field needs to be updated.,,,,,,,
,The %field_name field needs to be uninstalled.,,,,,,,
,Custom text: @true_label / @false_label,,,,,,,
,Display: @true_label / @false_label,,,,,,,
,An icon that links to the feed URL,,,,,,,
,Parent website of the feed.,,,,,,,
,Parent website's description of the feed.,,,,,,,
,Language list ID,,,,,,,
,The %field_type_label field type is used in the following field: @fields,The %field_type_label field type is used in the following fields: @fields,,,,,,
,Currently upgrading @migration (@current of @max total tasks),,,,,,,
,"Congratulations, you upgraded Drupal!",,,,,,,
,Completed 1 upgrade task successfully,Completed @count upgrade tasks successfully,,,,,,
,Running upgrade,,,,,,,
,"PHP OPcode caching can improve your site's performance considerably. It is <strong>highly recommended</strong> to have <a href=""http://php.net/manual/opcache.installation.php"" target=""_blank"">OPcache</a> installed on your server.",,,,,,,
,This identifier has illegal characters.,,,,,,,
,workspace,,,,,,,
,Activate Workspace,,,,,,,
,Would you like to activate the %workspace workspace?,,,,,,,
,The workspace name.,,,,,,,
,The workspace owner.,,,,,,,
,The time that the workspace was last edited.,,,,,,,
,Add a new @entity_type.,,,,,,,
,There is no @entity_type yet. @add_link,,,,,,,
,Store new items in,,,,,,,
,"For more information, refer to the help listed on this page or to the <a href="":docs"">online documentation</a> and <a href="":support"">support</a> pages at <a href="":drupal"">drupal.org</a>.",,,,,,,
,Module overviews,,,,,,,
,Module overviews are provided by modules. Overviews available for your installed modules:,,,,,,,
,Delete @entity_type,,,,,,,
,View the latest version,,,,,,,
Entity type label,@count @label,@count @label entities,,,,,,
,Create a new workspace,,,,,,,
,View own workspace,,,,,,,
,View any workspace,,,,,,,
,Edit own workspace,,,,,,,
,Edit any workspace,,,,,,,
,Delete own workspace,,,,,,,
,Delete any workspace,,,,,,,
,Bypass content entity access in own workspace,,,,,,,
,Allow all Edit/Update/Delete permissions for all content entities in a workspace owned by the user.,,,,,,,
,Parent path,,,,,,,
,Selected combination of day and month is not valid.,,,,,,,
,The import failed with the following message: %message,,,,,,,
,Parent menu link,,,,,,,
,Determines if a password needs hashing,,,,,,,
,"There is content for the entity type: @entity_type. <a href="":url"">Remove @entity_type_plural</a>.",,,,,,,
,View display '@id': Comment field formatter '@name' was disabled because it is using the comment view display '@display' (@mode) that was just disabled.,,,,,,,
,@name: @langcode,,,,,,,
,The configuration objects have different language codes so they cannot be translated:,,,,,,,
,Manage form modes,,,,,,,
,administration theme,,,,,,,
,All @entity_type_plural have been deleted.,,,,,,,
,"Views can be created from the <a href="":list"">Views list page</a> by using the ""Add view"" action. Existing views can be managed from the <a href="":list"">Views list page</a> by locating the view in the ""Enabled"" or ""Disabled"" list and selecting the desired operation action, for example ""Edit"".",,,,,,,
,Content moderation state,,,,,,,
,content moderation state,,,,,,,
,content moderation states,,,,,,,
,Default start date,,,,,,,
,Set a default value for the start date.,,,,,,,
,Set a default value for the end date.,,,,,,,
,Configure Content Moderation permissions,,,,,,,
,Upgraded @migration (processed 1 item total),Upgraded @migration (processed @count items total),,,,,,
,Continuing with @migration (processed 1 item),Continuing with @migration (processed @count items),,,,,,
,Testing missing dependencies,,,,,,,
,Minimal profile for running a test when dependencies are listed but missing.,,,,,,,
,"<p>Now that you have an overview of the ""Add languages"" feature, you can continue by:<ul><li>Adding a language</li><li>Adding a custom language</li><li><a href=""[site:url]admin/config/regional/language"">Viewing configured languages</a></li></ul></p>",,,,,,,
,"<p>Now that you have an overview of the ""Edit language"" feature, you can continue by:<ul><li>Editing a language</li><li><a href=""[site:url]admin/config/regional/language"">Viewing configured languages</a></li></ul></p>",,,,,,,
,"<p>Now that you have an overview of the ""Languages"" page, you can continue by:<ul><li><a href=""[site:url]admin/config/regional/language/add"">Adding a language</a></li><li>Reordering languages</li><li>Editing a language</li><li>Deleting a language</li></ul></p>",,,,,,,
,"This page allows you to translate the user interface or modify existing translations. If you have installed your site initially in English, you must first add another language on the <a href=""[site:url]admin/config/regional/language"">Languages page</a>, in order to use this page.",,,,,,,
,"The translations you have made here will be used on your site's user interface. If you want to use them on another site or modify them on an external translation editor, you can <a href=""[site:url]admin/config/regional/translate/export"">export them</a> to a .po file and <a href=""[site:url]admin/config/regional/translate/import"">import them</a> later.",,,,,,,
,The field ID.,,,,,,,
,Last upgrade: @date,,,,,,,
,"Your server is capable of displaying file upload progress, but does not have the required libraries. It is recommended to install the <a href=""http://pecl.php.net/package/uploadprogress"">PECL uploadprogress library</a>.",,,,,,,
,Random number generation,,,,,,,
,"Filter by view name, machine name, description, or display path",,,,,,,
,"Enter a part of the view name, machine name, description, or display path to filter by.",,,,,,,
,"The Workflows module provides a UI and an API for creating workflows content. This lets site admins define workflows and their states, and then define transitions between those states. For more information, see the <a href="":workflow"">online documentation for the Workflows module</a>.",,,,,,,
,Configure workflows.,,,,,,,
,Create and edit workflows.,,,,,,,
,Edit state,,,,,,,
,Edit transition,,,,,,,
,From state IDs,,,,,,,
,From state ID,,,,,,,
,To state ID,,,,,,,
,Created the %label Workflow. In order for the workflow to be enabled there needs to be at least one state.,,,,,,,
,Workflow %label deleted.,,,,,,,
,There are no states yet.,,,,,,,
,"This workflow has no states and will be disabled until there is at least one, <a href="":add-state"">add a new state.</a>",,,,,,,
,Add a new state,,,,,,,
,There are no transitions yet.,,,,,,,
,Add a new transition,,,,,,,
,Saved the %label Workflow.,,,,,,,
,Created %label state.,,,,,,,
,Are you sure you want to delete %state from %workflow?,,,,,,,
,State %label deleted.,,,,,,,
,Saved %label state.,,,,,,,
,The transition from %from to %to already exists.,,,,,,,
,Created %label transition.,,,,,,,
,Are you sure you want to delete %transition from %workflow?,,,,,,,
,%transition transition deleted.,,,,,,,
,Saved %label transition.,,,,,,,
,Warnings found,,,,,,,
,Errors found,,,,,,,
,Translation of either the title or explanation.,,,,,,,
,Created the %label Workflow.,,,,,,,
,There are no transitions to or from this state yet.,,,,,,,
,"An intentionally plain theme with no styling to demonstrate default Drupal’s HTML and CSS. Learn how to build a custom theme from Stark in the <a href=""https://www.drupal.org/docs/8/theming"">Theming Guide</a>.",,,,,,,
,"A base theme with sensible default CSS classes added. Learn how to use Classy as a base theme in the <a href=""https://www.drupal.org/docs/8/theming"">Drupal 8 Theming Guide</a>.",,,,,,,
,There are no @label yet.,,,,,,,
,Merge content,,,,,,,
,Object type for this string,,,,,,,
,Translation ID.,,,,,,,
,Featured Articles,,,,,,,
,The %field date is incomplete.,,,,,,,
,Include locked languages such as <em>Not specified</em> and <em>Not applicable</em>,,,,,,,
,This workflow applies to:,,,,,,,
,State %state does not exist on %workflow workflow,,,,,,,
,Describe this media type. The text will be displayed on the <em>Add new media</em> page.,,,,,,,
,Added media type %name.,,,,,,,
,"No media types available. <a href="":url"">Add media type</a>.",,,,,,,
,Remove the @label role from the selected user(s),,,,,,Poista rooli @label valituilta käyttäjiltä,
,This workflow is in use. You cannot remove this workflow until you have removed all content using it.,,,,,,,
,Edit %label workflow,,,,,,,
,This workflow state is in use. You cannot remove this workflow state until you have removed all content using it.,,,,,,,
,Find and manage comments.,,,,,,,
,The approved comments listing.,,,,,,,
,Comments published,,,,,,,
,The unapproved comments listing.,,,,,,,
,Comments unapproved,,,,,,,
,!!binary MSBwbGFjZQNAY291bnQgcGxhY2Vz,,,,,,,
,!!binary MQNAY291bnQ=,,,,,,,
,File selection handler settings,,,,,,,
,User selection handler settings,,,,,,,
,Views selection handler settings,,,,,,,
,%workflow workflow: Use %transition transition.,,,,,,,
,A collection of states and transitions between those states.,,,,,,,
,"A particular condition that something is in at a specific time. The usage of the state is determined by a module that harnesses the Workflows module. For example, Content Moderation allows a state to be used for moderation of content by assigning a given state to a content item.",,,,,,,
,"The process of changing from one state to another. A transition can occur from multiple states, but only to one state.",,,,,,,
,Are you sure you want to remove the %label block?,,,,,,,
,The upgrade can take a long time. It is better to upgrade from a local copy of your site instead of directly from your live site.,,,,,,,
,Upgrade analysis report,,,,,,,
,Compatible,,,,,,,
,Cannot change the install profile from %profile to %new_profile once Drupal is installed.,,,,,,,
,"Use field label instead of the ""On"" label as the label.",,,,,,,
,Media Name,,,,,,,
,New site,,,,,,,
,Preparation steps,,,,,,,
,WARNING: Content may be overwritten on your new site.,,,,,,,
,I acknowledge I may lose data. Continue anyway.,,,,,,,
,There is conflicting content of these types:,,,,,,,
,%capital_name contains the following terms.,,,,,,,
,%vocabulary: Create terms,,,,,,,
,%vocabulary: Delete terms,,,,,,,
,%vocabulary: Edit terms,,,,,,,
,"There are no workflow types available. In order to create workflows you need to install a module that provides a workflow type. For example, the <a href="":content-moderation"">Content Moderation</a> module provides a workflow type that enables workflows for content entities.",,,,,,,
,There are no custom blocks available.,,,,,,,
,Find and moderate content.,,,,,,,
,"No moderated content available. Only pending versions of content, such as drafts, are listed here.",,,,,,,
